"numCDA","idPessoa","descsituacaodevedor"
60610106210200,3275320,"1"
60120105025300,575717,"1"
60130111213600,1522687,"1"
60600100263500,2791806,"1"
60100601160000,108746,"1"
16650606030001,48334,"1"
60030116105600,793495,"1"
60100115313300,1840589,"1"
60130110301500,1517926,"1"
60030100016500,518276,"1"
60130161221300,2137156,"1"
16650665231100,22537,"1"
60130115513600,2084390,"1"
60130112100100,2069463,"1"
60000103006301,183715,"1"
60100116006200,3185552,"1"
16660603036201,269858,"1"
60100103115000,257170,"1"
60600100030000,4518738,"1"
16600106550101,22874,"1"
16600110165201,237946,"1"
60160101503200,2313979,"1"
60131005612300,2021293,"1"
60610115650000,3546369,"1"
60130162221600,3242631,"1"
60610106206000,3415598,"1"
60050100001300,718213,"1"
60100110316600,589883,"1"
60160116616300,2465755,"1"
60160102503000,629791,"1"
60610106330000,3282128,"1"
60160606000000,2417991,"1"
60110160350300,1316953,"1"
60130160036600,1212955,"1"
60000111600601,4215,"1"
60065603150500,48248,"1"
60160102202100,146467,"1"
60110106253600,138334,"1"
60060602605300,410502,"1"
60110160160600,1312003,"1"
60131066016100,1730432,"1"
60130110615100,1641893,"1"
16600610122101,111524,"1"
60160102031300,2284085,"1"
60110110103600,1225429,"1"
60610113651300,3585217,"1"
60100100135500,4507007,"1"
60110110335200,1228739,"1"
60110165606000,1297725,"1"
60130162256100,1054083,"1"
60130110150600,1641263,"1"
60610110116600,3430407,"1"
16300600166300,715,"1"
60060110020000,408276,"1"
60100105000100,1773115,"1"
16600101361201,224452,"1"
60131001611100,1997888,"1"
60000165266601,108390,"1"
60130110350000,1473281,"1"
60000602125000,11513,"1"
60610102036300,3289768,"1"
60130103311000,2043579,"1"
60160103316100,2395446,"1"
60110111061100,1170687,"1"
60160116163100,2463431,"1"
60160102006000,2298033,"1"
60050101653300,472031,"1"
60610106023100,4086610,"1"
16330603365201,8815,"1"
60100111631500,1830981,"1"
60160103335000,2360147,"1"
60110102666000,142713,"1"
60131002112300,1972821,"1"
60130110611300,1689666,"1"
60100601160300,1767564,"1"
60030103600000,38838,"1"
60130161510600,1010223,"1"
60610113531100,3809754,"1"
60100116320600,1163624,"1"
60160103100300,2344457,"1"
60110163003600,1190809,"1"
16300606032301,152,"1"
60050106360500,258558,"1"
60020101360500,10646,"1"
60610102303600,3300494,"1"
60100106050000,160204,"1"
16630112356301,85437,"1"
60610111136500,3809121,"1"
60010101126000,655303,"1"
60130100133300,1206358,"1"
60030101353600,143595,"1"
60110160310300,1315284,"1"
