"numCDA","probRecuperacao","stsRecuperacao"
16030600303000,0.8184,0
16030606200600,2.2110,0
16030606351100,2.4647,0
16060610211100,2.3004,0
16300100056201,1.0181,0
16300600166300,3.3361,0
16300600130500,1.6879,0
16300600565300,2.7759,0
16310610563501,10.2647,0
16310610030501,1.7522,0
16360101552601,3.3940,0
16360106161201,96.0541,0
16360105330301,1.7149,0
16360100660101,17.9101,0
16360110005301,0.1110,0
16360603063001,4.6387,0
16360610611101,1.8897,0
16360613313501,0.5863,0
16320100001001,0.6064,0
16320600331001,3.5820,0
16321023331000,0.0001,0
16310105152001,92.4931,0
16310605560300,0.7642,0
16310610501100,0.8556,0
16310611066100,1.4838,0
16350100605601,0.0031,0
16350105632101,22.3277,0
16350103013301,0.7220,0
16350100350101,0.5012,0
16350112630601,0.3538,0
16350112111001,0.0243,0
16350122123301,0.0307,0
16350123133001,0.0446,0
16350115010101,0.1897,0
16350150063601,0.0818,0
16350606010201,0.0561,0
16350612010501,0.3396,0
16350666061101,0.2155,0
16350652166001,0.6335,0
16351010116500,0.0084,0
16330100666301,0.0003,0
16330101025501,0.1413,0
16330103600101,0.0015,0
16330106610001,0.0617,0
16330112010501,0.0674,0
16330116506601,0.0012,0
16330606563301,0.0051,0
16330602125301,0.2741,0
16330605113301,0.0338,0
16330600133101,0.0277,0
16330600106601,0.0003,0
16330616006601,0.0325,0
16330616233101,0.0002,0
16330661206601,0.1675,0
16331016315300,0.0001,0
16300110616101,0.0213,0
16300606225601,0.0075,0
16300606032301,0.1546,0
16330101611501,0.0048,0
16330106261101,0.3112,0
16330106516001,0.0039,0
16330105610501,24.5083,0
16330100555601,0.0021,0
16330110151301,0.0003,0
16330111256501,0.0170,0
16330110560301,2.0512,0
16330602330601,0.0239,0
16330600131501,0.0245,0
16330603320301,0.1242,0
16330603303101,0.0253,0
16330603031201,0.0108,0
16330603313301,0.1046,0
16330603365201,0.0192,0
16330606112301,0.0327,0
16330610101301,0.0608,0
16331013611300,0.0032,0
16331010100300,0.0001,0
16360100131101,0.0004,0
16360106301601,99.5546,0
16360116101001,0.0014,0
16360116001201,0.1095,0
16360603551201,0.0008,0
16360606601101,0.0007,0
16600106205501,0.1586,0
16600102200101,0.5148,0
16600102501102,2.3506,0
16600101311001,0.0139,0
16600105136501,0.0104,0
16600110165201,0.0020,0
16600116151301,7.5760,0
16600113221001,0.0317,0
16600161331601,0.0003,0
16600161001301,0.0002,0
16600601051101,0.3826,0
16600605013301,0.0247,0
16600603631101,9.1936,0
16600603515301,0.0479,0
16600610101101,0.0142,0
16600612610301,0.0552,0
16610100300601,16.0358,0
16610101320306,3.6984,0
16610101613101,0.0284,0
16610106100501,0.5957,0
16610106621301,0.0003,0
16610101501201,0.0420,0
16610101063101,0.0001,0
16610103113601,0.0407,0
16610103653301,0.0011,0
16610103266001,0.1507,0
16610600030101,0.0131,0
16610600130601,0.0007,0
16610600120101,0.0001,0
16610600010601,0.0009,0
16610601060101,0.0104,0
16610601166001,0.0070,0
16610606303601,0.0086,0
16610602226101,0.0128,0
16610602566601,0.0062,0
16610602316201,0.0120,0
16610601601501,0.0149,0
16610605666201,0.0002,0
16611000006600,0.0001,0
16611500035100,0.0011,0
16660100510301,0.0001,0
16660100012201,1.6692,0
16660100302601,0.0070,0
16660101601301,0.1491,0
16660101610301,16.7963,0
16660101622601,0.4553,0
16660106363501,0.0019,0
16660102161601,0.0011,0
16660102316601,0.0034,0
16660102301001,0.0055,0
